"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)"
"","02/08/2006","1PM PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","25.14"
"","02/02/2009","1SPATIAL PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","29.83"
"","18/07/1994","3I GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","10,747.35"
"","13/03/2007","3I INFRASTRUCTURE PLC","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","2,767.90"
"","18/02/2014","4D PHARMA PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","65.49"
"","13/03/1953","4IMPRINT GROUP PLC","Consumer Discretionary","Media","United Kingdom","Europe","MAIN MARKET ","No","929.63"
"","14/07/2011","600 GROUP PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","16.74"
"","10/06/2014","7DIGITAL GROUP PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","AIM ","No","8.59"
"","04/10/2005","888 HOLDINGS PLC","Consumer Discretionary","Travel and Leisure","Gibraltar","Europe","MAIN MARKET ","Yes","495.8"
"","03/02/2012","88 ENERGY LIMITED","Energy","Energy","Australia","Pacific","AIM ","Yes","75.98"
"","26/06/2014","AA PLC","Consumer Discretionary","Automobiles and Parts","United Kingdom","Europe","MAIN MARKET ","No","294.68"
"","15/12/2006","ABAL GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","0.86"
"","16/11/2004","ABBEY PLC","Consumer Discretionary","Consumer Products and Services","Ireland","Europe","AIM ","Yes","283.61"
"","03/11/2005","ABCAM PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","2,872.33"
"","22/05/2013","AB DYNAMICS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","493.93"
"","20/12/2005","ABERDEEN ASIAN INCOME FUND LTD","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","356.37"
"","24/03/1952","ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","354.22"
"","10/11/2009","ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","268.9"
"","15/06/2007","ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED","Financials","Financial Services ","Guernsey","Europe","AIM ","No","32.22"
"","01/10/1998","ABERDEEN JAPAN INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","86.29"
"","16/08/2010","ABERDEEN LATIN AMERICAN INCOME FUND LIMITED","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","39.48"
"","03/09/2013","ABERDEEN NEW DAWN INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","270.39"
"","31/03/1994","ABERDEEN NEW INDIA INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","272.36"
"","22/12/1989","ABERDEEN NEW THAI INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","82.95"
"","28/08/1992","ABERDEEN SMALLER COMPANIES INCOME TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","77.05"
"","19/10/1995","ABERDEEN STANDARD ASIA FOCUS PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","349.88"
"","14/11/1991","ABERDEEN STANDARD EQUITY INCOME TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","194.71"
"","15/12/2017","ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","215.74"
"","10/12/1990","ABERFORTH SMALLER COMPANIES TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1,287.49"
"","03/07/2017","ABERFORTH SPLIT LEVEL INCOME TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","221.4"
"","28/06/2005","ACCESS INTELLIGENCE PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","38.51"
"","24/04/2002","ACCESSO TECHNOLOGY GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","100.9"
"","10/06/2016","ACCROL GROUP HOLDINGS PLC","Consumer Staples ","Personal Care, Drug and Grocery Stores ","United Kingdom","Europe","AIM ","No","76.15"
"","26/10/2005","ACCSYS TECHNOLOGIES PLC","Industrials","Construction and Materials","United Kingdom","Europe","AIM ","No","167.76"
"","02/11/1995","ACER INCORPORATED","Technology","Technology","Taiwan","Asia","PROFESSIONAL SECURITIES MARKET ","Yes","-"
"","11/02/1999","ACORN INCOME FUND LD","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","98.1"
"","06/10/1997","ACTIVE ENERGY GROUP PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","6.19"
"","13/02/2014","ACTUAL EXPERIENCE PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","24.87"
"","19/02/2014","ADAMAS FINANCE ASIA LIMITED","Financials","Financial Services ","British Virgin Islands","North America","AIM ","Yes","30.99"
"","26/07/2005","ADAMS PLC","Real Estate","Real Estate ","Isle of Man","Europe","AIM ","No","6.4"
"","15/02/2006","ADEPT TECHNOLOGY GROUP PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","78.22"
"","09/05/2017","ADES INTERNATIONAL HOLDING PLC","Energy","Energy","United Arab Emirates","Middle East","MAIN MARKET ","Yes","378.83"
"","16/12/2005","ADM ENERGY PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","2.5"
"","28/09/2004","ADMIRAL GROUP PLC","Financials","Insurance","United Kingdom","Europe","MAIN MARKET ","No","6,634.37"
"","12/12/2019","ADRIATIC METALS PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","151.96"
"","30/04/2002","ADVANCED MEDICAL SOLUTIONS GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","605.99"
"","04/08/2006","ADVANCED ONCOTHERAPY PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","89.83"
"","20/03/2000","ADVFN PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","4.63"
"","27/07/1938","AECI LD","Basic Materials","Chemicals","South Africa","Africa","MAIN MARKET ","Yes","-"
"","01/05/2002","AEOREMA COMMUNICATIONS PLC","Consumer Discretionary","Media","United Kingdom","Europe","AIM ","No","3.57"
"","06/06/2017","AEW UK LONG LEASE REIT PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","58.97"
"","12/05/2015","AEW UK REIT PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","149.13"
"","26/07/2010","AFARAK GROUP PLC","Basic Materials","Basic Resources","Finland","Europe","MAIN MARKET ","Yes","102.08"
"","24/04/2007","AFC ENERGY PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","88.77"
"","30/06/2014","AFH FINANCIAL GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","166.69"
"","11/05/2007","AFI DEVELOPMENT PLC","Real Estate","Real Estate ","Cyprus","Europe","MAIN MARKET ","Yes","151.81"
"","24/07/2007","AFRICA OPPORTUNITY FUND LIMITED","Financials","Financial Services ","Cayman Islands","North America","MAIN MARKET ","Yes","32.08"
"","09/11/2017","AFRITIN MINING LIMITED","Basic Materials","Basic Resources","Guernsey","Europe","AIM ","No","19.14"
"","29/09/1997","AGGREKO PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","1,974.75"
"","05/02/2009","AGRITERRA LD","Consumer Staples ","Food, Beverage and Tobacco ","Guernsey","Europe","AIM ","No","1.16"
"","15/09/2011","AGRONOMICS LIMITED ","Health Care ","Health Care  ","Isle of Man","Europe","AIM ","No","26.11"
"","11/12/2017","AIB GROUP PLC","Financials","Banks","Ireland","Europe","MAIN MARKET ","Yes","6,051.75"
"","09/01/2018","AIQ LIMITED","Financials","Financial Services ","Cayman Islands","North America","MAIN MARKET ","Yes","14.26"
"","15/12/2004","AIR CHINA LD","Consumer Discretionary","Travel and Leisure","China","Asia","MAIN MARKET ","Yes","3,316.96"
"","21/12/2005","AIREA PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","AIM ","No","17.78"
"","23/11/1995","AIR PARTNER PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","MAIN MARKET ","No","40.2"
"","28/06/2019","AIRTEL AFRICA PLC","Telecommunications","Telecommunications","United Kingdom","Europe","MAIN MARKET ","No","2,743.45"
"","07/12/2018","AJ BELL PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1,595.71"
"","04/04/2005","ALBA MINERAL RESOURCES PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","4.49"
"","27/01/1999","ALBION DEVELOPMENT VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","66.37"
"","05/04/2007","ALBION ENTERPRISE VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","71.85"
"","17/01/2001","ALBION TECHNOLOGY & GENERAL VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","88.03"
"","04/04/1996","ALBION VENTURE CAPITAL TST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","67.4"
"","06/03/2012","ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","119.87"
"","18/10/2018","ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.","Energy","Energy","Egypt","Middle East","ADMISSION TO TRADING ONLY ","Yes","-"
"","26/05/2017","ALFA FINANCIAL SOFTWARE HOLDINGS PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","293.1"
"","25/05/2006","ALIEN METALS LIMITED","Basic Materials","Basic Resources","British Virgin Islands","North America","AIM ","Yes","2.57"
"","02/05/2013","ALL ACTIVE ASSET CAPITAL LIMITED","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","0.98"
"","11/10/2004","ALLERGY THERAPEUTICS PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","71.57"
"","17/12/2015","ALLIANCE PHARMA PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","460.05"
"","17/07/1947","ALLIANCE TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","2,708.21"
"","04/12/1995","ALLIANZ TECHNOLOGY TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","629.8"
"","25/06/2014","ALLIED MINDS PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","88.53"
"","11/10/2017","ALPHA FINANCIAL MARKETS CONSULTING PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","250.33"
"","07/04/2017","ALPHA FX GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","490.04"
"","20/12/2017","ALPHA GROWTH PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","3.76"
"","21/12/2006","ALPHA REAL TRUST LIMITED","Real Estate","Real Estate ","Guernsey","Europe","MAIN MARKET ","No","116.44"
"","17/09/2015","ALTERNATIVE LIQUIDITY FUND LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","8.76"
"","07/11/2005","ALTITUDE GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","34.82"
"","10/08/2017","ALTUS STRATEGIES PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","16.68"
"","19/12/2014","ALTYN PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","14.77"
"","30/05/1986","ALUMASC GROUP PLC","Industrials","Construction and Materials","United Kingdom","Europe","AIM ","No","39.39"
"","30/11/2010","ALUMINIUM BAHRAIN B.S.C.","Basic Materials","Basic Resources","Bahrain","Middle East","MAIN MARKET ","Yes","-"
"","22/02/2001","AMATI AIM VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","135.89"
"","13/05/2015","AMEDEO AIR FOUR PLUS LIMITED","Industrials","Industrial Goods and Services","Guernsey","Europe","MAIN MARKET ","No","475.27"
"","06/10/2017","AMER GROUP HOLDING COMPANY S.A.E","Real Estate","Real Estate ","Egypt","Middle East","ADMISSION TO TRADING ONLY ","Yes","-"
"","05/12/2005","AMIAD WATER SYSTEMS LTD","Utilities","Utilities","Israel","Middle East","AIM ","Yes","59.02"
"","29/06/2018","AMIGO HOLDINGS PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","275.69"
"","06/07/1995","AMINEX PLC","Energy","Energy","Ireland","Europe","MAIN MARKET ","Yes","40.53"
"","09/06/2004","AMINO TECHNOLOGIES PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","109.1"
"","19/04/2016","AMRYT PHARMA PLC","","","United Kingdom","Europe","AIM ","No","190.81"
"","15/03/2006","AMUR MINERALS CORPORATION","Basic Materials","Basic Resources","British Virgin Islands","North America","AIM ","Yes","14.84"
"","10/10/1991","ANA HOLDINGS INC.","Consumer Discretionary","Travel and Leisure","Japan","Asia","ADMISSION TO TRADING ONLY ","Yes","-"
"","16/05/2016","ANDALAS ENERGY AND POWER PLC","Energy","Energy","Isle of Man","Europe","AIM ","No","1.51"
"","24/12/2001","ANDREWS SYKES GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","246.72"
"","20/06/2018","ANEXO GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","195.25"
"","17/03/2004","ANGLE PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","121.8"
"","06/06/1988","ANGLESEY MINING PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","2.99"
"","13/07/2017","ANGLING DIRECT PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","AIM ","No","43.3"
"","22/07/2015","ANGLO AFRICAN AGRICULTURE PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1.37"
"","06/03/2017","ANGLO AFRICAN OIL & GAS PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","1.29"
"","24/05/1999","ANGLO AMERICAN PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","27,157.61"
"","29/07/2005","ANGLO ASIAN MINING PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","164.15"
"","24/04/1985","ANGLO-EASTERN PLANTATIONS PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","MAIN MARKET ","No","218"
"","30/12/1996","ANGLO PACIFIC GROUP PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","314.85"
"","14/11/2016","ANGUS ENERGY PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","4.16"
"","15/01/2008","ANIMALCARE GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","115.61"
"","28/11/2006","ANPARIO PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","74.59"
"","05/07/1982","ANTOFAGASTA PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","8,105.71"
"","18/12/2002","AORTECH INTERNATIONAL PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","13.66"
"","03/03/2014","AO WORLD PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","368.01"
"","15/06/2015","APAX GLOBAL ALPHA LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","807.86"
"","04/10/2017","API GROUP CORPORATION","Financials","Financial Services ","British Virgin Islands","North America","MAIN MARKET ","Yes","1,211.56"
"","19/06/2015","APPLEGREEN PLC","Consumer Discretionary","Retail ","Ireland","Europe","AIM ","Yes","564.14"
"","20/11/2013","APPLIED GRAPHENE MATERIALS PLC","Basic Materials","Chemicals","United Kingdom","Europe","AIM ","No","8.65"
"","26/10/2007","APPRECIATE GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","109.48"
"","26/08/2016","APQ GLOBAL LIMITED","Financials","Financial Services ","Guernsey","Europe","AIM ","No","53.22"
"","02/05/1984","APTITUDE SOFTWARE GROUP PLC","","","United Kingdom","Europe","MAIN MARKET ","No","293.46"
"","05/06/2019","AQUILA EUROPEAN RENEWABLES INCOME FUND PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","278.89"
"","28/08/2014","AQUILA SERVICES GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","13.25"
"","14/06/2018","AQUIS EXCHANGE PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","101"
"","21/09/2016","ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.","Consumer Staples ","Food, Beverage and Tobacco ","Egypt","Middle East","ADMISSION TO TRADING ONLY ","Yes","-"
"","27/06/2005","ARBUTHNOT BANKING GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","178.67"
"","15/09/2010","ARC MINERALS LIMITED","Basic Materials","Basic Resources","British Virgin Islands","North America","AIM ","Yes","18.45"
"","04/12/2000","ARCONTECH GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","27.87"
"","19/07/2006","ARDEN PARTNERS PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","4.65"
"","25/07/2017","ARENA EVENTS GROUP PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","AIM ","No","36.65"
"","25/06/2019","ARGENTEX GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","217.64"
"","03/08/2018","ARGO BLOCKCHAIN PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","20.5"
"","18/11/2008","ARGO GROUP LIMITED","Financials","Financial Services ","Isle of Man","Europe","AIM ","No","9.55"
"","29/07/2010","ARGOS RESOURCES LIMITED","Energy","Energy","Falkland Islands","Latin America","AIM ","Yes","8.83"
"","28/07/2005","ARIANA RESOURCES PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","28.61"
"","17/02/2017","ARIX BIOSCIENCE PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","129.45"
"","31/07/2007","ARKLE RESOURCES PLC","Basic Materials","Basic Resources","Ireland","Europe","AIM ","Yes","1.49"
"","13/02/2006","ARMADALE CAPITAL PLC","Utilities","Utilities","United Kingdom","Europe","AIM ","No","12.8"
"","12/09/2013","ARRICANO REAL ESTATE PLC","Real Estate","Real Estate ","Cyprus","Europe","AIM ","Yes","35.25"
"","11/10/2013","ARROW GLOBAL GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","469.03"
"","16/10/1998","ARTEMIS ALPHA TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","130.77"
"","14/12/2004","ARTEMIS VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","18.9"
"","13/07/2018","ASA INTERNATIONAL GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","280"
"","09/02/2016","ASCENTIAL PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","1,472.76"
"","10/11/2004","ASCENT RESOURCES PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","2.87"
"","05/04/2007","ASEANA PROPERTIES LIMITED","Real Estate","Real Estate ","Jersey","Europe","MAIN MARKET ","No","67.83"
"","15/01/2007","ASHLEY HOUSE PLC","Industrials","Construction and Materials","United Kingdom","Europe","AIM ","No","1.68"
"","05/12/1985","ASHLEY (LAURA) HOLDINGS PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","21.54"
"","12/12/2007","ASHMORE GLOBAL OPPORTUNITIES LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","8.44"
"","17/10/2006","ASHMORE GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","3,873.75"
"","06/07/2018","ASHOKA INDIA EQUITY INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","72.92"
"","06/12/1985","ASHPOL PLC","","","United Kingdom","Europe","MAIN MARKET ","No","-"
"","08/10/1990","ASHTEAD GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","11,106.05"
"","16/09/1996","ASIA CEMENT CORPORATION","Industrials","Construction and Materials","Taiwan","Asia","PROFESSIONAL SECURITIES MARKET ","Yes","-"
"","07/09/1987","ASIA DRAGON TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","499.82"
"","13/12/2006","ASIAMET RESOURCES LIMITED","Basic Materials","Basic Resources","Bermuda","North America","AIM ","Yes","24.22"
"","02/04/2003","ASIMILAR GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","49.26"
"","03/10/2001","ASOS PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","AIM ","No","2,580.06"
"","30/03/2007","ASSETCO PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","45.18"
"","05/11/1937","ASSOCIATED BRITISH ENGINEERING PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","0.31"
"","01/08/1994","ASSOCIATED BRITISH FOODS PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","MAIN MARKET ","No","20,789.36"
"","28/01/2015","ASSURA PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","1,877.50"
"","03/10/2018","ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC","Consumer Discretionary","Automobiles and Parts","United Kingdom","Europe","MAIN MARKET ","No","1,137.28"
"","01/06/1993","ASTRAZENECA PLC","Health Care ","Health Care  ","United Kingdom","Europe","MAIN MARKET ","No","97,413.12"
"","09/05/2005","ATALAYA MINING PLC","Basic Materials","Basic Resources","Cyprus","Europe","AIM ","Yes","278.11"
"","24/09/2008","ATHELNEY TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","5.07"
"","10/05/1996","ATLANTIS JAPAN GROWTH FUND LD","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","95.08"
"","20/12/2013","ATLAS MARA LIMITED","Financials","Financial Services ","British Virgin Islands","North America","MAIN MARKET ","Yes","131.34"
"","14/01/2013","ATTIS OIL AND GAS LTD","Energy","Energy","British Virgin Islands","North America","AIM ","Yes","2.71"
"","19/08/2014","ATTRAQT GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","71.12"
"","22/08/2014","AUCTUS GROWTH PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","0.81"
"","12/12/2005","AUDIOBOOM GROUP PLC","Consumer Discretionary","Consumer Products and Services","Jersey","Europe","AIM ","No","30.81"
"","15/12/2004","AUGEAN PLC","Utilities","Utilities","United Kingdom","Europe","AIM ","No","199.84"
"","13/03/2018","AUGMENTUM FINTECH PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","115.88"
"","25/04/2006","AUKETT SWANKE GROUP PLC","Industrials","Construction and Materials","United Kingdom","Europe","AIM ","No","4.46"
"","12/09/2016","AURA ENERGY LIMITED","Basic Materials","Basic Resources","Australia","Pacific","AIM ","Yes","4.21"
"","14/03/1997","AURORA INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","155.91"
"","22/08/2016","AUTINS GROUP PLC","Consumer Discretionary","Automobiles and Parts","United Kingdom","Europe","AIM ","No","8.32"
"","24/03/2015","AUTO TRADER GROUP PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","5,177.11"
"","08/08/2006","AVACTA GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","40.03"
"","06/05/2010","AVANGARDCO INVESTMENTS PUBLIC LIMITED","Consumer Staples ","Food, Beverage and Tobacco ","Cyprus","Europe","MAIN MARKET ","Yes","-"
"","10/05/2018","AVAST PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","4,284.09"
"","06/10/2010","AVATION PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","193.46"
"","05/12/1996","AVEVA GROUP PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","7,942.99"
"","17/06/1943","AVI GLOBAL TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","834.29"
"","23/10/2018","AVI JAPAN OPPORTUNITY TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","129.25"
"","14/10/2004","AVINGTRANS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","97.32"
"","04/06/1990","AVIVA PLC","Financials","Insurance","United Kingdom","Europe","MAIN MARKET ","No","15,929.62"
"","26/07/2002","AVOCET MINING PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","2.74"
"","12/07/1949","AVON RUBBER PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","774.03"
"","05/11/2015","AXIOM EUROPEAN FINANCIAL DEBT FUND LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","86.34"
"","22/03/2005","AXIS BANK LIMITED","Financials","Banks","India","Asia","PROFESSIONAL SECURITIES MARKET ","Yes","-"
"","14/08/1989","BABCOCK INTERNATIONAL GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","2,976.95"
"","26/03/2018","BACANORA LITHIUM PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","72.47"
"","11/02/1981","BAE SYSTEMS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","20,239.80"
"","15/04/2014","BAGIR GROUP LTD.","Consumer Discretionary","Consumer Products and Services","Israel","Middle East","AIM ","Yes","1.79"
"","16/06/2010","BAHAMAS PETROLEUM COMPANY PLC","Energy","Energy","Isle of Man","Europe","AIM ","No","76.85"
"","28/06/1972","BAILLIE GIFFORD EUROPEAN GROWTH TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","380.71"
"","14/12/1981","BAILLIE GIFFORD JAPAN TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","728.31"
"","01/07/1985","BAILLIE GIFFORD SHIN NIPPON PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","476.4"
"","10/03/1994","BAILLIE GIFFORD UK GROWTH FUND PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","296.53"
"","23/03/2018","BAILLIE GIFFORD US GROWTH TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","371.63"
"","28/04/2010","BAKER STEEL RESOURCES TRUST LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","62.81"
"","03/11/2017","BAKKAVOR GROUP PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","MAIN MARKET ","No","786.86"
"","28/06/1945","BALFOUR BEATTY PLC","Industrials","Construction and Materials","United Kingdom","Europe","MAIN MARKET ","No","1,948.52"
